IP address,remote ssh version,country_code2,organization,asn
64.62.197.132,GET / HTTP/1.1,US,Hurricane Electric LLC,
85.192.56.68,SSH-2.0-Go,RU,Aeza Group Ltd.,
51.8.71.68,MGLNDD_15.188.246.148_22,US,Microsoft Corporation,
147.185.132.195,,US,Google LLC,
180.167.153.230,SSH-2.0-libssh_0.9.6,CN,China Telecom (Group),
111.47.65.219,,CN,China Mobile,
172.206.141.89,SSH-2.0-Go,US,Microsoft Corporation,
173.18.51.158,,US,Mediacom Communications Corp,
189.63.14.126,SSH-2.0-libssh_0.9.6,BR,Claro NXT Telecomunicacoes Ltda,
45.156.130.37,,US,"NSEC - Sistemas Informaticos, S.A.",
47.185.38.200,SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u4,US,"Frontier Communications of America, Inc.",
118.193.64.235,SSH-2.0-OpenSSH_7.4,GB,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,
194.163.166.25,SSH-2.0-libssh_0.9.6,DE,Contabo GmbH,
63.46.205.80,SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,US,Verizon Business,
190.104.25.210,SSH-2.0-libssh_0.9.6,BO,TelefÃ³nica Celular de Bolivia S.A.,
172.104.11.4,SSH-2.0-Go,US,"Akamai Technologies, Inc.",
172.169.111.241,MGLNDD_15.188.246.148_22,US,Microsoft Corporation,
121.228.41.230,SSH-2.0-libssh_0.9.6,CN,CHINANET-BACKBONE,
